Gain,Image
1.0046677610651853,1063375136_W_bm_1.0_SC_I.fits
0.925584518538706,1063374536_W_bm_1.0_SC_I.fits
1.0146234503523064,1063375496_W_bm_1.0_SC_I.fits
0.8837648958614607,1063375616_W_bm_1.0_SC_I.fits
0.961458180923246,1063373576_W_bm_1.0_SC_I.fits
0.8848112528379783,1063375736_W_bm_1.0_SC_I.fits
0.9019789230605735,1063374656_W_bm_1.0_SC_I.fits
1.0008675854940847,1063375856_W_bm_1.0_SC_I.fits
1.0032913575990228,1063374056_W_bm_1.0_SC_I.fits
0.8233785728910317,1063374176_W_bm_1.0_SC_I.fits
0.9030432965715347,1063375256_W_bm_1.0_SC_I.fits
0.8835927264924366,1063375976_W_bm_1.0_SC_I.fits
0.9075290997840919,1063375376_W_bm_1.0_SC_I.fits
0.6630161195180393,1135627096_W_bm_1.0_SC_I.fits
0.7552875270772966,1135627336_W_bm_1.0_SC_I.fits
0.680557972635007,1135628176_W_bm_1.0_SC_I.fits
0.7022758689720456,1135628536_W_bm_1.0_SC_I.fits
0.6974661271620468,1135628896_W_bm_1.0_SC_I.fits
0.8019984164759252,1135629136_W_bm_1.0_SC_I.fits
0.7805471614292764,1135629496_W_bm_1.0_SC_I.fits
0.67862855638138,1140894528_W_bm_1.0_SC_I.fits
0.7608161078264042,1140896568_W_bm_1.0_SC_I.fits
0.7316189918585779,1140897288_W_bm_1.0_SC_I.fits
0.7369541843644116,1140898488_W_bm_1.0_SC_I.fits
0.7024713342549062,1140899328_W_bm_1.0_SC_I.fits
0.7815239150582322,1140900528_W_bm_1.0_SC_I.fits
0.811350702821878,1140900648_W_bm_1.0_SC_I.fits
0.7648462992068712,1140900768_W_bm_1.0_SC_I.fits
0.8052891426079242,1140900888_W_bm_1.0_SC_I.fits
0.8069343198102692,1140901008_W_bm_1.0_SC_I.fits
0.7162363985200534,1140901128_W_bm_1.0_SC_I.fits
0.7996540294759804,1140901368_W_bm_1.0_SC_I.fits
0.6896599717362979,1140901848_W_bm_1.0_SC_I.fits
0.8036697775712417,1140901968_W_bm_1.0_SC_I.fits
0.8178185336250543,1140902088_W_bm_1.0_SC_I.fits
0.6805297007326688,1140902208_W_bm_1.0_SC_I.fits
0.9293530133804834,1140902328_W_bm_1.0_SC_I.fits
0.8094075649236667,1140902448_W_bm_1.0_SC_I.fits
0.6789114822846809,1140902568_W_bm_1.0_SC_I.fits
0.8045274365464777,1140902688_W_bm_1.0_SC_I.fits
0.827821088622331,1140902808_W_bm_1.0_SC_I.fits
0.7288195201811868,1140902928_W_bm_1.0_SC_I.fits
0.8353958241149645,1140903408_W_bm_1.0_SC_I.fits
0.8286286658709382,1140903528_W_bm_1.0_SC_I.fits
0.7312573830997505,1140903648_W_bm_1.0_SC_I.fits
0.8269333882066292,1140903768_W_bm_1.0_SC_I.fits
0.8285086298412631,1140903888_W_bm_1.0_SC_I.fits
0.692958287656117,1140904008_W_bm_1.0_SC_I.fits
0.8144001615004741,1140904128_W_bm_1.0_SC_I.fits
0.709830625920456,1140904368_W_bm_1.0_SC_I.fits
0.819651449804659,1140904488_W_bm_1.0_SC_I.fits
0.7862887425476202,1140904608_W_bm_1.0_SC_I.fits
0.7128763124251578,1140904728_W_bm_1.0_SC_I.fits
0.8959130107097699,1146046048_W_bm_1.0_SC_I.fits
0.9574148160453174,1146046168_W_bm_1.0_SC_I.fits
0.9067710203832566,1146046288_W_bm_1.0_SC_I.fits
0.9027211327530784,1146046408_W_bm_1.0_SC_I.fits
0.9388779462707386,1146046528_W_bm_1.0_SC_I.fits
1.0552359853846642,1146046648_W_bm_1.0_SC_I.fits
0.9186457551987226,1146046768_W_bm_1.0_SC_I.fits
0.9148970438109653,1146046888_W_bm_1.0_SC_I.fits
1.0881956504444958,1146047008_W_bm_1.0_SC_I.fits
0.8918185928808956,1146047128_W_bm_1.0_SC_I.fits
1.0298931090958012,1146047248_W_bm_1.0_SC_I.fits
1.1412628878700934,1146047368_W_bm_1.0_SC_I.fits
0.8728587254538407,1146047488_W_bm_1.0_SC_I.fits
1.041328794221699,1146047608_W_bm_1.0_SC_I.fits
1.1658212285867144,1146047728_W_bm_1.0_SC_I.fits
0.8761026015650242,1146047848_W_bm_1.0_SC_I.fits
1.010897474748362,1146047968_W_bm_1.0_SC_I.fits
1.1637550306453146,1146048088_W_bm_1.0_SC_I.fits
0.873622462490158,1146048208_W_bm_1.0_SC_I.fits
1.0168106715404694,1146048328_W_bm_1.0_SC_I.fits
1.163554011491688,1146048448_W_bm_1.0_SC_I.fits
0.8881976066088835,1146048568_W_bm_1.0_SC_I.fits
