RA,DEC,Image
-38.15395349594 ,  1.53079407756024 , 1063375136_W_bm_1.0_SC_I.fits
  -40.7287176916805 , -55.0815454642746 , 1063374536_W_bm_1.0_SC_I.fits
  -36.6499572762419 ,  1.52960093487859 , 1063375496_W_bm_1.0_SC_I.fits
  -36.2098159164574 ,  -55.085508538222 , 1063375616_W_bm_1.0_SC_I.fits
   -44.698893221969 , -26.7694684600224 , 1063373576_W_bm_1.0_SC_I.fits
  -35.6699872673288 , -26.7774137500456 , 1063375736_W_bm_1.0_SC_I.fits
  -40.1845155235198 , -26.7736256838249 , 1063374656_W_bm_1.0_SC_I.fits
  -35.1459774390039 ,  1.52844893426351 , 1063375856_W_bm_1.0_SC_I.fits
  -42.6659040364422 ,  1.53462686979446 , 1063374056_W_bm_1.0_SC_I.fits
  -37.7161726396874 , -55.0842239983457 , 1063375256_W_bm_1.0_SC_I.fits
  -34.7034127411721 , -55.0867430986729 , 1063375976_W_bm_1.0_SC_I.fits
  -37.1748535752747 ,  -26.776184680793 , 1063375376_W_bm_1.0_SC_I.fits
   155.945403698027 , -54.9439579135662 , 1135627096_W_bm_1.0_SC_I.fits
   156.894858627112 ,  1.67880605615242 , 1135627336_W_bm_1.0_SC_I.fits
   160.449049214043 , -54.9417500901944 , 1135628176_W_bm_1.0_SC_I.fits
   161.950175851723 , -54.9411275167761 , 1135628536_W_bm_1.0_SC_I.fits
   163.451270497913 , -54.9405545425189 , 1135628896_W_bm_1.0_SC_I.fits
     164.4163787679 ,  1.68232839732259 , 1135629136_W_bm_1.0_SC_I.fits
   165.920670114671 ,  1.68286103682307 , 1135629496_W_bm_1.0_SC_I.fits
  -156.404387024402 , -26.6309637166237 , 1140894528_W_bm_1.0_SC_I.fits
  -147.928812572109 , -54.9502503814114 , 1140896568_W_bm_1.0_SC_I.fits
  -144.925744016012 , -54.9530944714102 , 1140897288_W_bm_1.0_SC_I.fits
  -139.868742019419 , -26.6456379631567 , 1140898488_W_bm_1.0_SC_I.fits
  -136.327715763381 ,   1.6607710733994 , 1140899328_W_bm_1.0_SC_I.fits
  -131.408705910398 , -54.9681202250643 , 1140900528_W_bm_1.0_SC_I.fits
   -130.84817370543 , -26.6560041336478 , 1140900648_W_bm_1.0_SC_I.fits
  -130.310576883758 ,  1.65373565244718 , 1140900768_W_bm_1.0_SC_I.fits
  -129.906507784026 , -54.9699878275947 , 1140900888_W_bm_1.0_SC_I.fits
  -129.344689598216 , -26.6578749830812 , 1140901008_W_bm_1.0_SC_I.fits
  -128.806330815998 ,   1.6518745848615 , 1140901128_W_bm_1.0_SC_I.fits
  -127.841075066229 , -26.6597759064432 , 1140901368_W_bm_1.0_SC_I.fits
  -125.797711426265 ,  1.64803750386374 , 1140901848_W_bm_1.0_SC_I.fits
  -125.399431277142 , -54.9758108490257 , 1140901968_W_bm_1.0_SC_I.fits
  -124.833907375276 , -26.6636876021431 , 1140902088_W_bm_1.0_SC_I.fits
  -124.293438105652 ,  1.64607045697271 , 1140902208_W_bm_1.0_SC_I.fits
  -123.896944880807 , -54.9778084881253 , 1140902328_W_bm_1.0_SC_I.fits
  -123.330323668902 , -26.6656884491488 , 1140902448_W_bm_1.0_SC_I.fits
  -122.789192065993 ,  1.64407039195326 , 1140902568_W_bm_1.0_SC_I.fits
  -122.394411488447 , -54.9798465483787 , 1140902688_W_bm_1.0_SC_I.fits
  -121.826599393191 , -26.6677293947632 , 1140902808_W_bm_1.0_SC_I.fits
  -121.284882402496 ,  1.64204043056023 , 1140902928_W_bm_1.0_SC_I.fits
  -107.202839703629 ,  4.98321091982386 , 1140903048_W_bm_1.0_SC_I.fits
  -119.389003266653 , -54.9840022961386 , 1140903408_W_bm_1.0_SC_I.fits
  -118.819222297314 , -26.6718902016925 , 1140903528_W_bm_1.0_SC_I.fits
  -118.276363105977 ,  1.63787149983872 , 1140903648_W_bm_1.0_SC_I.fits
   -117.88621248165 , -54.9861103472886 , 1140903768_W_bm_1.0_SC_I.fits
  -117.315528787628 ,  -26.674011071306 , 1140903888_W_bm_1.0_SC_I.fits
  -116.772035286728 ,   1.6357545444987 , 1140904008_W_bm_1.0_SC_I.fits
  -116.383258830934 ,  -54.988258528506 , 1140904128_W_bm_1.0_SC_I.fits
   -115.26783474834 ,  1.63360560129489 , 1140904368_W_bm_1.0_SC_I.fits
  -114.880273684565 , -54.9904167734849 , 1140904488_W_bm_1.0_SC_I.fits
  -114.307941981903 , -26.6783219002818 , 1140904608_W_bm_1.0_SC_I.fits
  -113.763588776286 ,  1.63143371150095 , 1140904728_W_bm_1.0_SC_I.fits
  -107.202927215318 ,  4.98258378460994 , 1140904848_W_bm_1.0_SC_I.fits
   139.533939130517 , -12.1040254175299 , 1146045928_W_bm_1.0_SC_I.fits
